Rank "Enz usg rxn id" "Enzyme name(s)" Subsystems
159 draw_prot_P38993 "iron (II) transport                                                                                                                                                                 " "no association"
160 draw_prot_P38994 "PI 4-P 5-kinase (various), nucleus & cell envelope                                                                                                                                  " """Inositol phosphate metabolism"" (16), ""Transport [c, g]"" (1)"
161 draw_prot_P38995 "Copper-transporting ATPase (EC 3.6.3.54) (Cu(2+)-ATPase)                                                                                                                            " """Lysine metabolism"" (1)"
162 draw_prot_P38998 "saccharopine dehydrogenase (NAD, L-lysine forming)                                                                                                                                  " "no association"
163 draw_prot_P38999 "saccharopine dehydrogenase (NAD, L-glutamate forming)                                                                                                                               " """Lysine metabolism"" (1), ""Fatty acid ester pathway"" (1), ""Fatty acid biosynthesis"" (4)"
164 draw_prot_P39002 "fatty-acid--CoA ligase (various), cell envelope & short-chain-fatty-acid-CoA ligase (propionate)                                                                                    " """Fatty acid biosynthesis"" (4), ""Fatty acid ester pathway"" (1), ""Glycerophospholipid metabolism"" (6)"
165 draw_prot_P39006 "PS decarboxylase (various), mitochondrial membrane                                                                                                                                  " """Glycerophospholipid metabolism"" (2)"
166 draw_prot_P39007 "Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 (Oligosaccharyl transferase subunit STT3) (EC 2.4.99.18)                                                " """N-glycan biosynthesis"" (2), ""Inositol phosphate metabolism"" (10)"
167 draw_prot_P39104 "phosphatidylinositol 4-kinase (various), Golgi membrane & nucleus                                                                                                                   " """Inositol phosphate metabolism"" (6), ""Glycerophospholipid metabolism"" (11)"
168 draw_prot_P39105 "PC phospholipase B (various), cell envelope; LPC phospholipase B (various), cell envelope; PE phospholipase B (various), cell envelope; LPE phospholipase B (various), cell envelope" """Glycerophospholipid metabolism"" (13)"
169 draw_prot_P39111 "V-ATPase, Golgi & V-ATPase, vacuole                                                                                                                                                 " """Oxidative phosphorylation"" (2), ""Fatty acid biosynthesis"" (13), ""Fatty acid ester pathway"" (2)"
170 draw_prot_P39518 "fatty-acid--CoA ligase (various)                                                                                                                                                    " """Fatty acid biosynthesis"" (3)"
171 draw_prot_P39522 "dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate) & dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)                                                        " """Valine, leucine and isoleucine metabolism"" (2), ""Transport [erm, gm]"" (3), ""Transport [ce, erm]"" (1)"
172   
